"date_utc"	"indicator"	"type"	"source"	"tags"	"context"
"2025-10-24T07:47:49Z"	"45[.]134[.]26[.]69:443"	"unknown"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=75; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-24T07:45:24Z"	"172[.]86[.]90[.]58:80"	"unknown"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=75; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-24T07:45:23Z"	"172[.]86[.]90[.]58:443"	"unknown"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=75; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-24T07:45:10Z"	"170[.]130[.]165[.]201:80"	"unknown"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=75; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-24T07:45:10Z"	"170[.]130[.]165[.]201:443"	"unknown"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=75; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-24T07:43:50Z"	"107[.]158[.]128[.]26:80"	"unknown"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=75; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-24T07:43:50Z"	"107[.]158[.]128[.]26:443"	"unknown"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=75; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:15:36Z"	"www[.]bethschwier[.]com"	"domain"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:15:36Z"	"wereatwar[.]com"	"domain"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:15:36Z"	"alafair[.]net"	"domain"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:18Z"	"hxxps://www[.]wereatwar[.]com/service/download/file3[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:18Z"	"hxxps://www[.]bethschwier[.]com/service/download/file1[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:18Z"	"hxxps://www[.]bethschwier[.]com/service/download/file3[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:18Z"	"hxxps://www[.]bethschwier[.]com/service/download/inter64[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:17Z"	"hxxps://www[.]bethschwier[.]com/service/download/ac[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:17Z"	"hxxps://www[.]alafair[.]net/service/download/save_2[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:17Z"	"hxxps://www[.]alafair[.]net/service/download/save_1[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:17Z"	"hxxps://wereatwar[.]com/service/download/file3[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:17Z"	"hxxps://alafair[.]net/service/download/save_2[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:17Z"	"hxxps://alafair[.]net/service/download/save_1[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:16Z"	"hxxps://107[.]158[.]128[.]26/service/download/save_1[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:16Z"	"hxxps://172[.]86[.]90[.]58/service/download/file3[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:16Z"	"hxxps://170[.]130[.]165[.]201/service/download/inter64[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:16Z"	"hxxps://170[.]130[.]165[.]201/service/download/file3[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:16Z"	"hxxps://170[.]130[.]165[.]201/service/download/file1[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:16Z"	"hxxps://170[.]130[.]165[.]201/service/download/ac[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
"2025-10-23T11:14:16Z"	"hxxps://107[.]158[.]128[.]26/service/download/save_2[.]bin"	"url"	"threatfox"	"CastleLoader,castleloader,drb-ra"	"confidence_level=50; threat_type=botnet_cc; malware=win.castleloader"
