"date_utc"	"indicator"	"type"	"source"	"tags"	"context"
"2025-09-04T10:24:39Z"	"hxxps://185[.]102[.]115[.]69/48e[.]lim"	"url"	"urlhaus"	"lumma"	"status=online; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://directxapps[.]shop/NILdR0uHd0xf2wKhJXsaGal67PZbxnPg"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxp://213[.]111[.]153[.]0x28/lf7n/ihbs[.]odd"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://anondrop[.]net/1408852323941224540"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://anondrop[.]net/1408851068389163010"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://anondrop[.]net/1408850362915361032"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxp://88[.]99[.]145[.]13:444/?anondrop[.]net_scampage"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://anondrop[.]net/1408850668046913618"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://anondrop[.]net/1408851906733805629"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://anondrop[.]net/1408851485831336028"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://streamcache[.]site/balc[.]jpg"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://t0urist[.]cv/CrL[.]ini"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://www[.]dropbox[.]com/t/7YKNV6Ccksm2FD3v"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://download2329[.]mediafire[.]com/3002yurx4tpgfrBLM-UDFT16u8yZv6CVhIubNpMWpAe1kHlU-QuiPrlnHheh84nrhHbOLw8MrZK5K9n10pn1iPh1ekQU35MuqgNT4jwpkuRrcQgzO4-kYf41GwhkeEt4vnj9pTnqG4TGrTg7t3wwB7pfzivEquO1WiDr24uAQ6R4QQ/9mp872akp80s4ui/L4%D0%B0nchXPr%D0%BE_Win64_%5Bv3[.]1[.]1%5D_P%D0%BErtX_x64[.]zip"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://download2334[.]mediafire[.]com/omztunjkjrwglwYHUdOb47TJdgZoEhdNvCsN5ooze0wRn6IVOd-DynniCuJNOhpjuXiimznygygNgOJtSA-n76tge2OCmFfEXpHT1e4fN3U2kBUkbp7alcd6nLSzeXOlNrSck8ECKhxEQkwohSAoukUiy8Y_hlEOjujQICsNH0wVjg/flpp764nam459g2/GalaxyPr00j33ct2[.]67v[.]zip"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://mega[.]nz/file/K5RyiQ4L#Qv-iCXbW-PtH-wvnQq8gRHNj75H5CvxV1ssoBFBMxRQ"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxp://185[.]156[.]72[.]196/ycl"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://github[.]com/legendary99999/legend11/releases/download/legend1/legend1[.]exe"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://github[.]com/legendary99999/rgsfdgsfg/releases/download/grdfvgvsfd/Faceit[.]TITAN[.]ver[.]4[.]562[.]exe"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://116[.]203[.]5[.]69/mozglue[.]dll"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://github[.]com/legendary99999/legend2/releases/download/legend2/legend2[.]exe"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://12[.]innospark[.]cloud/vpnmcg[.]txt"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://spacefyu[.]today/Gkeio"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://mega[.]nz/file/XdgxAI6a#AKDwnBb4ZqxPSJXUrfzuCP2QjsG7SJZOuK-D-tWFYk8"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://undo[.]sg/file[.]exe"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://www[.]dropbox[.]com/scl/fi/xfme3jj5rgt6u5ig7he70/CapCut-Pro[.]rar?rlkey=ndad0985or8n5rokxmb0pz5k0&st=wcorhwhg&dl=1"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://sites[.]google[.]com/view/robloxfree2025/roblox-free-hack"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://drive[.]google[.]com/file/d/11SRBeq-5b2C7gf5Z24SzNiSxCTSHONLJ/view"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://app[.]mediafire[.]com/nv3tqmek5l0sy"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://github[.]com/Fortnite-Wallhacks-2025/[.]github/releases/tag/files"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://github[.]com/RaquelG18/Luna-Executor/releases"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
"2025-09-04T10:24:39Z"	"hxxps://www[.]transfernow[.]net/dl/20250411w2aAKIJy?67f972e914fe6_67f972e914fe8&sdm=1a251d0c7deda496a1d5a90a395bcc4866d974b7"	"url"	"urlhaus"	"lumma"	"status=offline; threat=malware_download"
