"date_utc"	"indicator"	"type"	"source"	"tags"	"context"
"2025-08-12T16:23:37Z"	"hxxp://45[.]141[.]233[.]196/files/7887437310/Vp4R7KZ[.]exe"	"url"	"urlhaus"	"njrat"	"status=online; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxps://paste[.]ee/d/IdN7cwei/0"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxps://github[.]com/s7bhme/gg/raw/refs/heads/main/x69gg[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxps://github[.]com/cybertoxin/Remcos-Professional-Cracked-By-Alcatraz3222/raw/master/Remcos%20Professional%20Cracked%20By%20Alcatraz3222[.]zip"	"url"	"urlhaus"	"njrat"	"status=online; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxp://45[.]141[.]233[.]196/files/15786589/CG8WjnT[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxps://notpxzy-60051[.]portmap[.]host:60051/nj[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxps://raw[.]githubusercontent[.]com/DexXC/XC/main/RtkAudUService[.]bak"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxps://raw[.]githubusercontent[.]com/DexXC/XC/main/RtkAudUService[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxps://github[.]com/DexXC/XC/raw/refs/heads/main/RtkAudUService[.]bak"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxps://github[.]com/DexXC/XC/raw/refs/heads/main/RtkAudUService[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxp://167[.]160[.]161[.]247/n89393[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxp://176[.]46[.]157[.]32/files/1013240947/hRKvkgT[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxp://176[.]46[.]157[.]32/files/1013240947/IJTK85d[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxp://176[.]46[.]157[.]32/files/1013240947/wJc43xr[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxp://176[.]46[.]157[.]32/files/1013240947/MPFv92e[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxp://176[.]46[.]157[.]32/files/1013240947/tcroIcm[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxps://raw[.]githubusercontent[.]com/Game-6d/fff/main/Server[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxp://176[.]46[.]157[.]32/luma/random[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
"2025-08-12T16:23:37Z"	"hxxp://176[.]46[.]157[.]32/files/1013240947/IeYrXa8[.]exe"	"url"	"urlhaus"	"njrat"	"status=offline; threat=malware_download"
