"date_utc"	"indicator"	"type"	"source"	"tags"	"context"
"2025-08-16T15:13:15Z"	"hxxps://github[.]com/RZM-CRACK-TEAM/RedLine-CRACK/blob/main/Redline-crack-by-rzt[.]zip"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxp://91[.]229[.]239[.]92/deamon01/Cnwxvwskab[.]mp3"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxps://vg9uaonmlovvvey0ym[.]bezkngteaqr[.]ru/meta2406[.]exe"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxps://wyfahwr92ethixzvj1[.]iooey4moqjlvcpu[.]ru/meta2406[.]exe"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxps://bitbucket[.]org/x98989/8678678ff/downloads/word[.]zip"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxps://raw[.]githubusercontent[.]com/lakrica0/asdfqw/main/wind[.]exe"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxps://upload[.]venomtools[.]in/build[.]exe"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxp://185[.]215[.]113[.]16/inc/Lead_dumper[.]exe"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxps://potok[.]cash/date[.]exe"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxp://gdx[.]o7lab[.]me/[.]exe"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxp://github[.]com/IgorAlaf/Creds/raw/main/marsel[.]exe"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxp://lawyer[.]webstylze[.]com/wp-secure/build[.]exe"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxp://91[.]229[.]239[.]92/deamon01/centralproductpro[.]zip"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxp://91[.]229[.]239[.]92/deamon01/Muudwq[.]dat"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxp://91[.]229[.]239[.]92/deamon01/Svjmgnl[.]mp3"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
"2025-08-16T15:13:15Z"	"hxxp://87[.]120[.]127[.]223/panel/uploads/Afocvkc[.]dat"	"url"	"urlhaus"	"redline"	"status=offline; threat=malware_download"
