"date_utc"	"indicator"	"type"	"source"	"tags"	"context"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/kMoz7Hl[.]exe"	"url"	"urlhaus"	"stealc"	"status=online; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/G38FpQr[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/502259649/8omkiD7[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/MoFhL1N[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/6053747383/TqBeWyv[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/LnDGrdY[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/BaGrrRL[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/Mwt6qk5[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/mZQKmUx[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/9C8mKUO[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/lh16kdu[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]53[.]7/Stealc[.]exe"	"url"	"urlhaus"	"stealc"	"status=online; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/TpJ3vI0[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/2mxH0QC[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/J3Emhcx[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://84[.]200[.]80[.]22/trade[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]53[.]193/mK2k20ajW7kairt1mg88vT1aT9vwU5AZN9AkYYs2QBNbnXV3ph/YEr2KP0jEBhSDdVcS9cWNhbKUgDxcEm9kqxLwFAdHgmKyw7FZq[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://84[.]200[.]80[.]22/detail[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://84[.]200[.]80[.]22/news[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/R6DKpTV[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/EF6CXU6[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://87[.]251[.]66[.]74/Documents/trade[.]txt[.]lnk"	"url"	"urlhaus"	"stealc"	"status=online; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://87[.]251[.]66[.]74/Documents/detail[.]txt[.]lnk"	"url"	"urlhaus"	"stealc"	"status=online; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://87[.]251[.]66[.]74/Documents/news[.]pdf[.]lnk"	"url"	"urlhaus"	"stealc"	"status=online; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/u5T0tvf[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://176[.]46[.]152[.]21/Stealc[.]exe"	"url"	"urlhaus"	"stealc"	"status=online; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/UuAJSEE[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/6393041478/34mmAZL[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxps://app[.]surrogatesolutions[.]net/application/install[.]exe"	"url"	"urlhaus"	"stealc"	"status=online; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://185[.]164[.]59[.]38/12/houselet[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/rqqk3LW[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://158[.]94[.]208[.]190/stealc[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]54[.]200/files/5254702106/lAnu0L7[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]54[.]200/files/5254702106/eqEgiiV[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5254702106/9ZJIo6X[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/snsyeA1[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/8476495206/Gu8TBUQ[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/7H4aPe4[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/5917492177/lk5Bp4t[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
"2025-10-31T09:48:05Z"	"hxxp://178[.]16[.]55[.]189/files/6875802221/FKr5f0o[.]exe"	"url"	"urlhaus"	"stealc"	"status=offline; threat=malware_download"
